"Wavelength","Lipi-Blue EM","Lipi-Blue EX","Hoechst 33342 EM","Hoechst 33342 EX","LysoTracker Green EM","LysoTracker Green EX","SYBR Gold EM","SYBR Gold EX","TMRE EM","TMRE EX","SPY505 EM","SPY505 AB","SPY620 EM","SPY620 AB","SiR EM","SiR AB","DRAQ7 EM","DRAQ7 EX"
250,,,,,,,,0.4765
251,,,,,,,,0.5
252,,,,,,,,0.5241
253,,,,,,,,0.5343
254,,,,,,,,0.5404
255,,,,,,,,0.5505
256,,,,,,,,0.5583
257,,,,,,,,0.5613
258,,,,,,,,0.5627
259,,,,,,,,0.5668
260,,,,,,,,0.5723
261,,,,,,,,0.5672
262,,,,,,,,0.5658
263,,,,,,,,0.5684
264,,,,,,,,0.566
265,,,,,,,,0.5596
266,,,,,,,,0.5526
267,,,,,,,,0.5456
268,,,,,,,,0.5397
269,,,,,,,,0.5381
270,,,,,,,,0.5307
271,,,,,,,,0.5205
272,,,,,,,,0.513
273,,,,,,,,0.5002
274,,,,,,,,0.4891
275,,,,,,,,0.4795
276,,,,,,,,0.4646
277,,,,,,,,0.4507
278,,,,,,,,0.4352
279,,,,,,,,0.4196
280,,,,,,,,0.4058
281,,,,,,,,0.3911
282,,,,,,,,0.3803
283,,,,,,,,0.3703
284,,,,,,,,0.3572
285,,,,,,,,0.3472
286,,,,,,,,0.3345
287,,,,,,,,0.3246
288,,,,,,,,0.3151
289,,,,,,,,0.3037
290,,,,,,,,0.2964
291,,,,,,,,0.2886
292,,,,,,,,0.2817
293,,,,,,,,0.2734
294,,,,,,,,0.2701
295,,,,,,,,0.2649
296,,,,,,,,0.2631
297,,,,,,,,0.2554
298,,,,,,,,0.2499
299,,,,,,,,0.2474
300,,,,0.3968,,,,0.2411,,,,,,,,,,0.41
301,,,,0.3846,,,,0.2367,,,,,,,,,,0.41
302,,,,0.3722,,,,0.2309,,,,,,,,,,0.42
303,,,,0.3693,,,,0.227,,,,,,,,,,0.42
304,,,,0.3539,,,,0.2217,,,,,,,,,,0.42
305,,0.527,,0.3519,,,,0.2142,,,,,,,,,,0.42
306,,0.5236,,0.3481,,,,0.2075,,,,,,,,,,0.41
307,,0.5202,,0.3467,,,,0.2002,,,,,,,,,,0.41
308,,0.5157,,0.3492,,,,0.1911,,,,,,,,,,0.41
309,,0.5047,,0.3512,,,,0.1851,,,,,,,,,,0.41
310,,0.4938,,0.3546,,,,0.1771,,,,,,,,,,0.4
311,,0.4828,,0.3637,,,,0.1703,,,,,,,,,,0.4
312,,0.4718,,0.3724,,,,0.1634,,,,,,,,,,0.39
313,,0.4609,,0.3858,,,,0.1565,,,,,,,,,,0.38
314,,0.4469,,0.3979,,,,0.1502,,,,,,,,,,0.36
315,,0.4146,,0.4046,,,,0.144,,,,,,,,,,0.35
316,,0.3858,,0.4148,,,,0.1392,,,,,,,,,,0.33
317,,0.3692,,0.4246,,,,0.1352,,,,,,,,,,0.31
318,,0.3526,,0.4345,,,,0.1315,,,,,,,,,,0.29
319,,0.336,,0.4462,,,,0.1279,,,,,,,,,,0.28
320,,0.3202,,0.4578,,,,0.1249,,,,,,,,,,0.26
321,,0.3055,,0.4699,,,,0.1221,,,,,,,,,,0.24
322,,0.2883,,0.486,,,,0.119,,,,,,,,,,0.22
323,,0.28,,0.5082,,,,0.1166,,,,,,,,,,0.21
324,,0.2727,,0.5235,,,,0.1145,,,,,,,,,,0.2
325,,0.2658,,0.542,,,,0.1119,,,,,,,,,,0.18
326,,0.265,,0.5678,,,,0.1093,,,,,,,,,,0.17
327,,0.2641,,0.5818,,,,0.1074,,,,,,,,,,0.16
328,,0.2633,,0.6062,,,,0.1057,,,,,,,,,,0.16
329,,0.2625,,0.6197,,,,0.103,,,,,,,,,,0.15
330,,0.2647,,0.6421,,,,0.1017,,,,,,,,,,0.14
331,,0.2725,,0.6627,,,,0.0989,,,,,,,,,,0.13
332,,0.2802,,0.6866,,,,0.0976,,,,,,,,,,0.13
333,,0.2931,,0.709,,,,0.096,,,,,,,,,,0.12
334,,0.307,,0.7317,,,,0.0935,,,,,,,,,,0.12
335,,0.3208,,0.7536,,,,0.0918,,,,,,,,,,0.11
336,,0.3346,,0.775,,,,0.0904,,,,,,,,,,0.11
337,,0.3502,,0.7969,,,,0.089,,,,,,,,,,0.11
338,,0.3739,,0.8169,,,,0.087,,,,,,,,,,0.1
339,,0.3975,,0.8373,,,,0.0854,,,,,,,,,,0.1
340,,0.4211,,0.8607,,,,0.0848,,,,,,,,,,0.1
341,,0.4452,,0.8788,,,,0.0835,,,,,,,,,,0.09
342,,0.4699,,0.8966,,,,0.0819,,,,,,,,,,0.09
343,,0.4945,,0.9151,,,,0.0811,,,,,,,,,,0.09
344,,0.5191,,0.9335,,,,0.0796,,,,,,,,,,0.09
345,,0.5438,,0.947,,,,0.0786,,,,,,,,,,0.08
346,,0.5684,,0.9601,,,,0.078,,,,,,,,,,0.08
347,,0.5931,,0.9701,,,,0.077,,,,,,,,,,0.08
348,,0.619,,0.9809,,,,0.0769,,,,,,,,,,0.08
349,,0.6457,,0.9871,,,,0.0758,,,,,,,,,,0.08
350,,0.6723,,0.9951,,0.0774,,0.0748,,,,,,,,,,0.08
351,,0.6989,,0.9973,,0.0779,,0.0736,,,,,,,,,,0.07
352,,0.7255,,1,,0.0784,,0.0734,,,,,,,,,,0.07
353,,0.7495,,0.9977,,0.0789,,0.0739,,,,,,,,,,0.07
354,,0.7724,,0.9947,,0.0794,,0.0733,,,,,,,,,,0.07
355,,0.7953,,0.9902,,0.08,,0.0723,,,,,,,,,,0.07
356,,0.8182,,0.983,,0.0799,,0.0708,,,,,,,,,,0.07
357,,0.8411,0.0041,0.9726,,0.0794,,0.0697,,,,,,,,,,0.07
358,,0.8628,0.0042,0.9601,,0.0801,,0.0683,,,,,,,,,,0.07
359,,0.8772,0.0042,0.9485,,0.0803,,0.067,,,,,,,,,,0.06
360,,0.8916,0.0044,0.9323,,0.0797,,0.0653,,,,,,,,,,0.06
361,,0.906,0.0045,0.9171,,0.0809,,0.0626,,,,,,,,,,0.06
362,,0.9204,0.0047,0.9029,,0.0798,,0.0606,,,,,,,,,,0.06
363,,0.9348,0.0049,0.8846,,0.0793,,0.0583,,,,,,,,,,0.06
364,,0.9485,0.0051,0.864,,0.0787,,0.0549,,,,,,,,,,0.06
365,,0.9597,0.0053,0.8436,,0.0785,,0.0521,,,,,,,,,,0.06
366,,0.9706,0.0056,0.8237,,0.0779,,0.0491,,,,,,,,,,0.06
367,,0.976,0.0058,0.8012,,0.0771,,0.0469,,,,,,,,,,0.06
368,,0.9813,0.0061,0.7751,,0.0759,,0.0434,,,,,,,,,,0.06
369,,0.9867,0.0064,0.7507,,0.0752,,0.0412,,,,,,,,,,0.06
370,,0.9906,0.0067,0.7259,,0.0741,,0.0381,,,,,,,,,,0.06
371,,0.9943,0.007,0.6992,,0.0736,,0.0355,,,,,,,,,,0.06
372,,0.9981,0.0075,0.6698,,0.071,,0.0326,,,,,,,,,,0.05
373,,1,0.0079,0.6428,,0.0704,,0.0294,,,,,,,,,,0.05
374,,1,0.0085,0.6106,,0.068,,0.0272,,,,,,,,,,0.05
375,,1,0.0092,0.5786,,0.0667,,0.0251,,,,,,,,,,0.05
376,,1,0.0101,0.5477,,0.0654,,0.0226,,,,,,,,,,0.05
377,,1,0.0113,0.5162,,0.0636,,0.021,,,,,,,,,,0.05
378,,0.9993,0.0128,0.4838,,0.062,,0.019,,,,,,,,,,0.05
379,,0.9977,0.0146,0.4516,,0.0604,,0.0175,,,,,,,,,,0.05
380,,0.9961,0.0168,0.4195,,0.059,,0.0164,,,,,,,,,,0.05
381,,0.9945,0.0196,0.3927,,0.0567,,0.0151,,,,,,,,,,0.05
382,,0.9904,0.0231,0.3624,,0.0553,,0.0142,,,,,,,,,,0.05
383,,0.9822,0.0272,0.3341,,0.0533,,0.0134,,,,,,,,,,0.05
384,,0.974,0.0319,0.3076,,0.0518,,0.0127,,,,,,,,,,0.05
385,,0.9632,0.0371,0.2815,,0.0502,,0.0124,,,,,,,,,,0.04
386,,0.9502,0.0429,0.2572,,0.0487,,0.0117,,,,,,,,,,0.04
387,,0.9372,0.049,0.2339,,0.047,,0.0114,,,,,,,,,,0.04
388,,0.9242,0.0552,0.2137,,0.0449,,0.0111,,,,,,,,,,0.04
389,,0.9112,0.0617,0.1928,,0.0434,,0.0108,,,,,,,,,,0.04
390,,0.8984,0.0684,0.175,,0.0417,,0.0104,,,,,,,,,,0.04
391,,0.8857,0.0752,0.1581,,0.0398,,0.0102,,,,,,,,,,0.04
392,,0.8731,0.082,0.1442,,0.0382,,0.01,,,,,,,,,,0.04
393,,0.8604,0.0895,0.1293,,0.0365,,0.01,,,,,,,,,,0.04
394,,0.8478,0.0976,0.116,,0.0349,,0.0101,,,,,,,,,,0.04
395,,0.8351,0.1064,0.1046,,0.0334,,0.0102,,,,,,,,,,0.04
396,,0.8221,0.1163,0.0943,,0.0318,,0.0099,,,,,,,,,,0.04
397,,0.8074,0.1277,0.0832,,0.03,,0.01,,,,,,,,,,0.04
398,0.0112,0.7926,0.14,0.0745,,0.029,,0.0101,,,,,,,,,,0.04
399,0.0172,0.7779,0.1533,0.0677,,0.0273,,0.0105,,,,,,,,,,0.04
400,0.0232,0.7632,0.1672,0.0586,,0.026,,0.0106,,0.04050000011920929,,0.04760033264756203,,,,,,0.04
401,0.0301,0.7492,0.1826,0.0533,,0.0248,,0.0107,,0.04050000011920929,,0.046690911054611206,,,,,,0.04
402,0.0389,0.7352,0.1984,0.0476,,0.0237,,0.0114,,0.04050000011920929,,0.04499291628599167,,,,,,0.04
403,0.0477,0.7212,0.2152,0.0422,,0.0227,,0.0117,,0.04050000011920929,,0.04439760372042656,,,,,,0.04
404,0.0565,0.7071,0.2324,0.0381,,0.0222,,0.0121,,0.04050000011920929,,0.04402201250195503,,,,,,0.04
405,0.0719,0.6931,0.2505,0.0346,,0.0217,,0.0124,,0.04050000011920929,,0.0433940663933754,,,,,,0.04
406,0.0921,0.6734,0.2684,0.0298,,0.0211,,0.013,,0.04050000011920929,,0.04358493909239769,,,,,,0.04
407,0.1222,0.6537,0.2869,0.0284,,0.0207,,0.0135,,0.03989999989668528,,0.04368031024932861,,,,,,0.04
408,0.1662,0.634,0.306,0.0257,,0.0206,,0.0142,,0.03929999967416128,,0.04216471686959267,,,,,,0.04
409,0.2103,,0.3252,0.0231,,0.0208,,0.0151,,0.03869999945163727,,0.04188740998506546,,,,,,0.04
410,0.2544,,0.3458,0.0223,,0.021,,0.0158,,0.03871999979019165,,0.039429567754268646,,,,,,0.04
411,0.2985,,0.3663,0.0197,,0.0212,,0.0165,,0.03874000012874603,,0.03843245282769203,,,,,,0.04
412,0.3595,,0.3868,0.019,,0.0213,,0.0176,,0.038760000467300416,,0.041622344404459,,,,,,0.04
413,0.424,,0.4083,0.0185,,0.0219,,0.0189,,0.038780000805854795,,0.04328890144824982,,,,,,0.04
414,0.4829,,0.4299,0.0162,,0.0225,,0.0205,,0.03880000114440918,,0.04359612241387367,,,,,,0.04
415,0.5395,,0.4517,0.0142,,0.0231,,0.0222,,0.03844000101089477,,0.04358692467212677,,,,,,0.04
416,0.5961,,0.4733,0.014,,0.0241,,0.0236,,0.03808000087738037,,0.04351518303155899,,,,,,0.04
417,0.6694,,0.4955,0.0126,,0.0249,,0.0247,,0.037720000743865965,,0.04407482594251633,,,,,,0.05
418,0.7429,,0.5177,0.0113,,0.0258,,0.0267,,0.037360000610351565,,0.04471733048558235,,,,,,0.05
419,0.797,,0.5396,0.0118,,0.0271,,0.0289,,0.03700000047683716,,0.044961679726839066,,,,,,0.05
420,0.8383,,0.5604,0.011,,0.0284,,0.0306,,0.036660000681877136,,0.044891923666000366,,,,,,0.05
421,0.8678,,0.5806,0.0104,,0.0298,,0.0328,,0.036320000886917114,,0.043844111263751984,,,,,,0.05
422,0.911,,0.6021,0.0089,,0.0315,,0.0348,,0.03598000109195709,,0.04333099350333214,,,,,,0.05
423,0.9181,,0.6233,0.0111,,0.0331,,0.0373,,0.03564000129699707,,0.043744705617427826,,,,,,0.05
424,0.9221,,0.6448,0.0083,,0.0345,,0.0402,,0.03530000150203705,,0.04431963711977005,,,,,,0.05
425,0.9202,,0.6649,0.0073,,0.0362,,0.0426,,0.03460000157356262,,0.04493825137615204,,,,,,0.05
426,0.9183,,0.6854,0.007,,0.0382,,0.0455,,0.0339000016450882,,0.04594046249985695,,,,,,0.05
427,0.9139,,0.7059,0.0071,,0.0403,,0.0484,,0.03320000171661377,,0.04570246860384941,,,,,,0.05
428,0.9005,,0.725,0.0059,,0.0426,,0.0524,,0.032500001788139346,,0.04586229845881462,,,,,,0.05
429,0.8813,,0.7438,0.0063,,0.045,,0.0557,,0.03180000185966492,,0.046890851110219955,,,,,,0.05
430,0.8728,,0.7625,0.0063,,0.0475,,0.0596,,0.03110000155866146,,0.04769537225365639,,,,,,0.06
431,0.8658,,0.7809,0.0037,,0.0501,,0.0632,,0.030400001257658005,,0.04887958616018295,,,,,,0.06
432,0.8594,,0.7986,0.0038,,0.0529,,0.0688,,0.029700000956654548,,0.05055362358689308,,,,,,0.06
433,0.8591,,0.8149,0.0039,,0.0556,,0.0726,,0.029000000655651094,,0.0518522672355175,,,,,,0.06
434,0.8599,,0.8313,0.0026,,0.0582,,0.0772,,0.028300000354647636,,0.053284138441085815,,,,,,0.06
435,0.861,,0.8462,0.004,,0.0615,,0.0821,,0.02716666708389918,,0.05542641878128052,,,,,,0.06
436,0.8711,,0.8618,0.0033,,0.0654,,0.0867,,0.026033333813150723,,0.05789167061448097,,,,,,0.06
437,0.8838,,0.8767,0.0023,,0.069,,0.0925,,0.024900000542402267,,0.06018954887986183,,,,,,0.06
438,0.8995,,0.891,0.0026,,0.0729,,0.0979,,0.024025000631809235,,0.06249801442027092,,,,,,0.06
439,0.9187,,0.9028,0.0017,,0.0768,,0.1032,,0.023150000721216202,,0.0647766962647438,,,,,,0.06
440,0.9331,,0.9153,0.0006,,0.0812,,0.1093,,0.02227500081062317,,0.06659077852964401,,,,,,0.06
441,0.9452,,0.9257,0.0012,,0.0848,,0.1153,,0.021400000900030136,,0.06931884586811066,,,,,,0.07
442,0.9609,,0.9351,0.0008,,0.0891,,0.1221,,0.021400000900030136,,0.07206941395998001,,,,,,0.07
443,0.9753,,0.9444,0.0006,,0.0939,,0.129,,0.021400000900030136,,0.0745188519358635,,,,,,0.07
444,0.9886,,0.9528,0.0017,,0.0983,,0.1364,,0.021400000900030136,,0.07728133350610733,,,,,,0.07
445,0.9934,,0.9608,0.0011,,0.1039,,0.145,,0.021400000900030136,,0.08042106032371521,,,,,,0.07
446,0.9983,,0.9691,0.0024,,0.1091,,0.155,,0.021400000900030136,,0.08414385467767715,,,,,,0.07
447,1,,0.9764,0.0011,,0.1147,,0.1646,,0.021400000900030136,,0.08672235161066055,,,,,,0.07
448,0.9985,,0.9823,0.003,,0.1203,,0.1739,,0.022120000794529915,,0.09133134037256241,,,,,,0.07
449,0.9969,,0.9878,0,,0.1258,,0.183,,0.022840000689029694,,0.09413307160139084,,,,,,0.07
450,0.9745,,0.9917,,,0.1322,,0.1936,,0.023560000583529472,,0.099945068359375,,,,,,0.07
451,0.9513,,0.9955,,,0.1391,,0.2032,,0.02428000047802925,,0.10770900547504425,,0.00002809999932651408,,,,0.07
452,0.9407,,0.9983,,,0.1457,,0.2154,,0.02500000037252903,,0.1087348461151123,,0.0041601997800171375,,0.013387219,,0.07
453,0.9301,,0.9986,,,0.1539,,0.2278,,0.025583333646257717,,0.11191163212060928,,0.0029603929724544287,,0.01313463,,0.08
454,0.9061,,0.9995,,,0.163,,0.2422,,0.026166666919986408,,0.11565627157688141,,0.0026734829880297184,,0.013387219,,0.08
455,0.8718,,1,,,0.1708,,0.2578,,0.026750000193715096,,0.11884497106075287,,0.0031299309339374304,,0.01313463,,0.08
456,0.8399,,0.9983,,,0.1799,,0.2732,,0.027333333467443783,,0.12434611469507217,,0.003677668981254101,,0.01313463,,0.08
457,0.8136,,0.9958,,,0.1895,,0.2891,,0.027916666741172474,,0.13111333549022675,,0.003508131019771099,,0.012882041,,0.08
458,0.7902,,0.9938,,,0.2003,,0.306,,0.02850000001490116,,0.13747617602348328,,0.003182097105309367,,0.012882041,,0.08
459,0.766,,0.9913,,,0.2129,,0.3244,,0.029900000244379044,,0.14423346519470215,,0.0037493968848139048,,0.012882041,,0.08
460,0.7361,,0.9892,,,0.2246,,0.3423,,0.03130000047385693,,0.15179289877414703,,0.0037559180054813623,,0.012882041,,0.08
461,0.7062,,0.9851,,,0.2387,,0.3612,,0.03270000070333481,,0.16071239113807678,,0.0037559180054813623,,0.012629452,,0.09
462,0.6878,,0.9806,,,0.2521,,0.3794,,0.034100000932812694,,0.17022423446178436,,0.0032342621125280857,,0.012882041,,0.09
463,0.6709,,0.9764,,,0.2657,,0.3985,,0.03550000116229057,,0.17927013337612152,,0.0028821451123803854,,0.012882041,,0.09
464,0.6541,,0.9701,,,0.2801,,0.4164,,0.03815000131726265,,0.18926510214805603,,0.0037624379619956017,,0.012629452,,0.09
465,0.6349,,0.9646,,,0.2944,,0.4351,,0.040800001472234726,,0.20009993016719818,,0.0032146999146789312,,0.011871685,,0.09
466,0.6148,,0.9583,,,0.3105,,0.4528,,0.0434500016272068,,0.2105211317539215,,0.00290822796523571,,0.011619096,,0.09
467,0.596,,0.9514,,,0.3265,,0.4715,,0.04610000178217888,,0.22213295102119446,,0.0036515858955681324,,0.012124274,,0.09
468,0.5836,,0.9444,,,0.3419,,0.4869,,0.048750000074505806,,0.23446285724639893,,0.0033059900160878897,,0.012124274,,0.1
469,0.5713,,0.9372,,,0.3572,,0.5028,,0.05139999836683273,,0.24626792967319489,,0.0028234589844942093,,0.012376863,,0.1
470,0.5589,,0.9278,,,0.3739,,0.5192,,0.054499998688697815,,0.25726160407066345,,0.0023930929601192474,,0.012376863,,0.1
471,0.5465,,0.9194,,,0.3879,,0.5344,,0.0575999990105629,,0.2693042755126953,,0.001454113982617855,,0.012376863,,0.1
472,0.5378,,0.9108,,,0.4033,,0.5526,,0.06069999933242798,,0.28198760747909546,,0.0014215100090950727,,0.012376863,,0.1
473,0.5303,,0.9014,,,0.4168,,0.5678,,0.06379999965429306,,0.29242271184921265,,0.0008476899820379913,,0.012376863,,0.1
474,0.5228,,0.892,,,0.4317,,0.5833,,0.06733333319425583,,0.30216285586357117,,0.0011802449589595199,,0.012376863,,0.1
475,0.5154,,0.8819,,,0.4432,,0.5976,,0.0708666667342186,,0.31208768486976624,,0.0014475929783657193,,0.012124274,,0.11
476,0.5079,,0.8726,,,0.4569,,0.6144,,0.07440000027418137,,0.3217371702194214,,0.0013628239976242185,,0.012124274,,0.11
477,0.4977,,0.8632,,,0.4712,,0.6365,,0.07660000026226044,,0.3305746018886566,,0.002497423905879259,,0.012124274,,0.11
478,0.4832,,0.8514,,,0.4852,,0.6565,,0.07880000025033951,,0.3372438848018646,,0.0025430689565837383,,0.012376863,,0.11
479,0.4688,,0.8399,,,0.4982,,0.6773,,0.08100000023841858,,0.3441619873046875,,0.002027935115620494,,0.012124274,,0.11
480,0.4544,,0.8274,,,0.5113,,0.6982,,0.08320000022649765,,0.3513951301574707,,0.0016236519441008568,,0.012124274,,0.11
481,0.4384,,0.8142,,,0.5251,,0.7172,,0.0892999991774559,,0.3591828942298889,,0.0019301240099593997,,0.012124274,,0.11
482,0.4214,,0.8007,,,0.5403,,0.739,,0.09539999812841415,,0.3666503429412842,,0.003051683073863387,,0.012124274,,0.12
483,0.4043,,0.7865,,,0.5582,,0.7614,,0.09902499802410603,,0.373684287071228,,0.0025365480687469244,,0.011871685,,0.12
484,0.3899,,0.7722,,,0.5774,,0.7845,,0.1026499979197979,,0.3824661076068878,,0.001832313952036202,,0.011871685,,0.12
485,0.3765,,0.759,,0.0149,0.5966,,0.8091,,0.10627499781548977,,0.39221885800361633,,0.0013302209554240108,,0.011871685,,0.12
486,0.363,,0.7462,,0.0178,0.6208,,0.8359,,0.10989999771118164,,0.4037545621395111,,0.00039385000127367675,,0.011871685,,0.12
487,0.3496,,0.7337,,0.0221,0.6478,,0.8607,,0.11779999732971191,,0.416852205991745,,0.0006716310163028538,,0.011871685,,0.12
488,0.3379,,0.7222,,0.0277,0.6733,,0.8874,,0.1256999969482422,,0.4307956397533417,,0.0011737239547073841,,0.012124274,,0.13
489,0.3264,,0.7118,,0.0347,0.7008,,0.9129,,0.1326499953866005,,0.44716736674308777,,0.0011867659632116556,,0.012124274,,0.13
490,0.3148,,0.7021,,0.043,0.7298,,0.9335,,0.1395999938249588,,0.46508046984672546,,0.0025691520422697067,,0.011871685,,0.13
491,0.3036,,0.6917,,0.0539,0.7583,,0.9561,,0.14749999344348907,,0.48475009202957153,,0.003958059009164572,,0.012124274,,0.13
492,0.2928,,0.6802,,0.0675,0.7842,,0.9715,,0.15539999306201935,,0.508327841758728,,0.004212365951389074,,0.012376863,,0.13
493,0.2821,,0.6701,,0.0851,0.8162,,0.9878,,0.16299999753634134,,0.5347487926483154,,0.005125261843204498,,0.012629452,,0.14
494,0.2713,,0.6594,,0.1067,0.8462,,0.9959,,0.17060000201066336,,0.5624483823776245,,0.004877476021647453,,0.012629452,,0.14
495,0.2605,,0.6486,,0.1337,0.8804,,0.9979,,0.17820000648498535,0.031859930604696274,0.5926662683486938,,0.00378852104768157,,0.012629452,,0.14
496,0.2491,,0.6378,,0.1685,0.9104,,1,,0.18810000270605087,0.026980482041835785,0.6256241202354431,,0.004883997142314911,,0.012882041,,0.15
497,0.2376,,0.6271,,0.2112,0.9423,,0.9949,,0.1979999989271164,0.022101033478975296,0.6597328782081604,,0.0057968939654529095,,0.01313463,,0.15
498,0.226,,0.6174,,0.2637,0.9678,,0.9885,,0.20717499777674675,0.026549942791461945,0.6951805353164673,,0.005503462161868811,,0.01313463,,0.15
499,0.2154,,0.6073,,0.3245,0.9887,,0.9768,,0.2163499966263771,0.030998852103948593,0.7321173548698425,,0.006383756175637245,,0.012629452,,0.16
500,0.2072,,0.5972,,0.3962,0.9983,0.0997,0.9606,,0.22552499547600746,0.03903559222817421,0.7689415812492371,,0.0076031251810491085,,0.012882041,,0.16
501,0.199,,0.5868,,0.4758,1,0.1111,0.9412,,0.23469999432563782,0.047072332352399826,0.8048922419548035,,0.008483418263494968,,0.012882041,,0.16
502,0.1909,,0.5764,,0.5614,0.9816,0.1264,0.9178,,0.249549999833107,0.05797933600842953,0.8399097323417664,,0.008802931755781174,,0.013387219,,0.17
503,0.1827,,0.566,,0.6519,0.9486,0.144,0.8911,,0.26440000534057617,0.06888633966445923,0.8748279213905334,,0.008939865976572037,,0.013387219,,0.17
504,0.1745,,0.5552,,0.7384,0.9025,0.1637,0.8639,,0.2782500088214874,0.08668197691440582,0.9073701500892639,,0.009494124911725521,,0.013639808,,0.17
505,0.1689,,0.5441,,0.8203,0.8414,0.1844,0.8322,,0.2921000123023987,0.10447761416435242,0.9347169995307922,,0.009924490004777908,,0.013639808,,0.18
506,0.1636,,0.533,,0.8914,0.7639,0.2072,0.8009,,0.30266667405764264,0.12844432145357132,0.9586091041564941,,0.01013967301696539,,0.013639808,,0.18
507,0.1583,,0.5229,,0.9486,0.6764,0.2311,0.7642,,0.31323333581288654,0.15241102874279022,0.9782588481903076,,0.010393979959189892,,0.013639808,,0.19
508,0.1529,,0.5118,,0.983,0.589,0.257,0.726,,0.3237999975681305,0.1858495995402336,0.9911513328552246,,0.010641765780746937,,0.013892397,,0.19
509,0.1476,,0.5014,,1,0.4999,0.2836,0.6899,,0.3356499969959259,0.219288170337677,0.9980012774467468,,0.009663662873208523,,0.014144986,,0.19
